iter	Passed	Remaining
0	9	963
1	20	1023
2	36	1194
3	51	1233
4	68	1309
5	85	1336
6	103	1372
7	116	1338
8	131	1328
9	170	1531
10	180	1457
11	194	1423
12	201	1346
13	228	1403
14	244	1386
15	282	1481
16	301	1470
17	320	1458
18	341	1454
19	367	1469
20	382	1437
21	395	1401
22	406	1360
23	415	1315
24	426	1279
25	437	1246
26	447	1208
27	458	1179
28	469	1149
29	481	1122
30	489	1088
31	498	1058
32	508	1032
33	519	1007
34	528	982
35	539	958
36	548	934
37	560	914
38	572	895
39	583	875
40	592	853
41	603	833
42	615	815
43	631	803
44	644	787
45	656	770
46	663	747
47	677	733
48	691	719
49	702	702
50	711	683
51	722	666
52	733	650
53	743	633
54	754	617
55	766	602
56	775	585
57	788	570
58	798	555
59	809	539
60	823	526
61	834	511
62	844	495
63	853	480
64	864	465
65	873	449
66	885	436
67	895	421
68	904	406
69	914	391
70	923	377
71	934	363
72	943	349
73	955	335
74	967	322
75	979	309
76	990	295
77	1002	282
78	1013	269
79	1023	255
80	1035	242
81	1045	229
82	1056	216
83	1067	203
84	1079	190
85	1089	177
86	1101	164
87	1112	151
88	1121	138
89	1131	125
90	1141	112
91	1150	100
92	1161	87
93	1169	74
94	1181	62
95	1193	49
96	1202	37
97	1214	24
98	1224	12
99	1233	0
